TransactionID,ProductID,PurchaseOrderID,MissingID,TransactionDate,UnitPurchasePrice,QuantityOrdered,QuantityReceived,QuantityMissing,Año,Mes,Mes/Año
351,487,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
352,488,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
353,489,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
354,490,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
355,491,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
356,494,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
357,495,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
358,496,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
359,497,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
360,498,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
361,499,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
362,500,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
363,501,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
364,502,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
365,503,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
366,504,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
367,505,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
368,506,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
369,507,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
370,508,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
371,509,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
372,510,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
374,511,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
375,512,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
376,513,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
377,514,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
378,516,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
379,517,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
380,518,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
384,519,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
386,520,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
388,521,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
389,522,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
392,524,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
394,525,0,1,2003-05-29,0.0,61.0,61.0,0,2003,5,5/2003
396,526,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
399,527,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
401,528,0,1,2003-05-29,0.0,65.0,65.0,0,2003,5,5/2003
403,529,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
405,530,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
406,531,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
407,532,0,1,2003-05-29,0.0,89.0,89.0,0,2003,5,5/2003
408,533,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
409,534,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
410,535,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
411,536,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
412,538,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
413,540,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
414,541,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
415,545,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
416,546,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
417,547,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
418,553,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
419,561,0,1,2003-05-29,0.0,80.0,80.0,0,2003,5,5/2003
420,562,0,1,2003-05-29,0.0,80.0,80.0,0,2003,5,5/2003
421,563,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
422,564,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
423,565,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
424,566,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
425,567,0,1,2003-05-29,0.0,81.0,81.0,0,2003,5,5/2003
426,583,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
427,587,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
